jobkey,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr,archtype,condInferFunc,datakey,inferFunc,lambdaEdge,lambdaNode,lbpMaxIter,nHidStates
try3_45,-151.08167165385916,-153.2625710507006,-153.4063552130405,-0.8087330185150992,-2.533728743015373,-2.4198314833493817,0.0032285259910712575,0.009873668779373087,0.00936221973201544,linvis,loopy,PF00595,loopy,1,0.1,1000,4
try3_6,-156.41303057099998,-156.06869273881608,-166.780213880544,-1.1814200284875351,-2.5744272894766365,-3.5444799932590088,0.0036117338238393594,0.010012599587040151,0.010679156011454952,3dvis,loopy,PF00240,loopy,0.1,0.01,1000,2
try3_79,-166.24666635428102,-167.2039640907857,-167.27356151745593,-0.964960218956669,-2.975201846313537,-2.869711031930611,0.0034249200053649096,0.010573113535214168,0.009946460554166786,linvis-linhid,loopy,PF00595,loopy,0.1,0.01,1000,4
try3_67,-153.55151350704344,-154.2590884345258,-154.3944491925857,-0.8274485046037982,-2.5558406826750457,-2.4594735909671117,0.003301974159018477,0.009959901694476782,0.009735750749456465,linhid,loopy,PF00595,loopy,0.1,0.01,1000,4
try3_20,-139.02812636187718,-140.7273559472861,-139.6514583157327,-1.4302818142390774,-4.593003347298105,-4.434648306901988,0.006276886447877493,0.02063627383320478,0.01969285627456542,linhid,loopy,PF00240,loopy,1,0.1,1000,2
try3_15,-153.00402635921552,-156.17476607506768,-155.07031456764904,-1.6984506069811243,-5.67965987158255,-5.200581573103668,0.006583515958262312,0.02115048918117972,0.020084552318435377,12vis,loopy,PF00240,loopy,0.1,0.01,1000,4
try3_32,-134.95865287707738,-139.0276130879708,-137.81985927869357,-1.3503731990932795,-4.559189342682261,-4.272601972519595,0.005970256937492672,0.0199326107254496,0.01847724786255521,linvis-linhid,loopy,PF00240,loopy,1,0.1,1000,2
try3_35,-139.37739537713475,-142.51958932054038,-141.39555151132225,-1.450712612414586,-4.902267050166722,-4.601911448835373,0.006191210555269969,0.020947509438558033,0.019463241352296823,linvis-linhid,loopy,PF00240,loopy,0.1,0.01,1000,4
try3_62,-188.67630728451792,-189.89396732087673,-190.36686212801007,-1.1814200284875351,-3.6358847042398823,-3.556192967677105,0.0036117338238393594,0.010932417348146232,0.010679156011454952,123vis,loopy,PF00595,loopy,0.1,0.01,1000,2
try3_26,-144.30541420189485,-145.5238781616795,-144.64633022100227,-1.5616162724767628,-4.925785375156158,-4.788442970857296,0.006808978833545269,0.021827088323252006,0.020975998487242867,3dhid,loopy,PF00240,loopy,0.1,0.01,1000,2
try3_50,-204.04753225909585,-206.25874615310718,-206.83617223963864,-1.2695807783393729,-4.043341767886932,-3.8298066573889162,0.003535092257285739,0.010783905105467647,0.01023858096524246,3dvis,loopy,PF00595,loopy,0.1,0.01,1000,2
try3_55,-156.45009765500424,-160.54804272683953,-160.86771243628672,-0.8161196765586393,-2.6583265072869966,-2.5499219316579116,0.0031949953057040484,0.009964692411982543,0.009563351818329837,l1vis,loopy,PF00595,loopy,0.1,0.01,1000,4
try3_13,-152.41277340264327,-155.4986848453326,-154.43007330096177,-1.6667751599048153,-5.584737140556473,-5.115602993464693,0.006524895610688744,0.021042233318448154,0.019854937396166783,12vis,loopy,PF00240,loopy,1,0.1,1000,4
try3_14,-153.00402635921552,-156.17476607506768,-155.07031456764904,-1.6984506069811243,-5.67965987158255,-5.200581573103668,0.006583515958262312,0.02115048918117972,0.020084552318435377,12vis,loopy,PF00240,loopy,0.1,0.01,1000,2
try3_25,-145.75186279345743,-147.0604061591455,-146.10827817759568,-1.5619449887639585,-4.9249784011300655,-4.789138453741281,0.006822506606062245,0.02162410858063032,0.021057039048043544,3dhid,loopy,PF00240,loopy,1,0.1,1000,4
try3_77,-165.79337175162786,-166.75259098209597,-166.82530392695546,-0.960383190409956,-2.96213418600311,-2.8560557337852335,0.0034281134039713104,0.010534787795168083,0.009927305117374939,linvis-linhid,loopy,PF00595,loopy,1,0.1,1000,4
try3_85,-161.1197585828444,-163.10656883789002,-163.22109546301684,-0.8859843309594025,-2.8061113345659123,-2.6703583466583054,0.003317941152050481,0.010189856134753301,0.009817161355821816,l1vis-l1hid,loopy,PF00595,loopy,1,0.1,1000,4
